date,region,season,disaster_type,hazard_level,temperature_c,rainfall_mm,wind_kmh,cyber_incidents,phishing_reports,misinformation_reports,vulnerability_alerts,donation_scam_reports,risk_score,anomaly_flag
01-01-2024,Shepparton,Summer,None,Low,32.1,2.5,18.1,4,4,2,2,1,28.8,0
02-01-2024,Melbourne Metro,Summer,None,Low,30.3,0.5,28,5,3,0,3,2,24.6,0
03-01-2024,Melbourne Metro,Summer,None,Low,33.1,3.2,18.9,20,12,11,1,6,57.5,1
04-01-2024,Shepparton,Summer,None,Low,31.9,0.4,19.5,3,5,2,5,0,34.5,0
05-01-2024,Ballarat,Summer,None,Medium,34,2.3,24.4,2,5,2,2,1,41.9,0
06-01-2024,Geelong,Summer,Storm,Medium,28.1,2.6,38.5,11,8,6,3,5,68.4,0
07-01-2024,Geelong,Summer,None,High,34.1,0.9,24.7,16,10,2,5,5,80,0
08-01-2024,Geelong,Summer,None,Low,35.7,6.8,27,8,4,1,2,2,22.1,0
09-01-2024,Shepparton,Summer,None,Low,24.5,1.3,34.1,6,0,2,1,1,19.9,0
10-01-2024,Melbourne Metro,Summer,None,Low,25,6.9,23.7,30,7,8,2,7,57.6,1
11-01-2024,Shepparton,Summer,None,Low,29.5,5.4,28.5,5,2,1,2,2,27.2,0
12-01-2024,Shepparton,Summer,None,Low,28.6,4.3,27,14,2,1,3,1,27.9,0
13-01-2024,Gippsland,Summer,None,Medium,25.6,7.5,26.3,29,11,7,6,4,74.8,1
14-01-2024,Melbourne Metro,Summer,None,High,37.6,3.9,34.1,9,9,6,3,6,80.9,0
15-01-2024,Gippsland,Summer,None,Low,30.2,1.2,11.8,5,4,3,1,1,29.8,0
16-01-2024,Bendigo,Summer,None,Low,26.8,1.1,24.4,5,4,2,4,2,26,0
17-01-2024,Melbourne Metro,Summer,Storm,High,31.4,10.7,28.3,10,6,2,5,6,79.6,0
18-01-2024,Melbourne Metro,Summer,None,Medium,30.2,3.4,20.1,24,10,11,5,4,80,1
19-01-2024,Melbourne Metro,Summer,Storm,Medium,24.9,0.8,42.7,3,8,1,3,3,54.4,0
20-01-2024,Geelong,Summer,None,Low,35,3.4,14.5,9,5,1,1,2,28.1,0
21-01-2024,Geelong,Summer,None,High,33.3,3.2,26.9,12,10,7,2,1,75.5,0
22-01-2024,Gippsland,Summer,None,Low,35.4,4.1,30.6,6,6,4,4,2,39.3,0
23-01-2024,Gippsland,Summer,None,Low,20.4,8.1,34.3,9,4,3,2,1,32.9,0
24-01-2024,Melbourne Metro,Summer,None,Low,33,8.7,26.1,5,3,2,3,0,27.7,0
25-01-2024,Gippsland,Summer,None,Low,27.4,1.7,23.2,7,7,3,0,1,33.2,0
26-01-2024,Geelong,Summer,Storm,Medium,30.3,13.1,14,11,7,2,8,1,63.1,0
27-01-2024,Shepparton,Summer,None,Medium,30.7,9.6,30.5,9,9,2,5,1,53.7,0
28-01-2024,Shepparton,Summer,None,Low,24.4,9.5,27.7,8,3,2,1,1,34.8,0
29-01-2024,Shepparton,Summer,None,Low,29.1,2.1,36.1,5,8,2,2,1,28.1,0
30-01-2024,Gippsland,Summer,None,Low,24.4,9.2,21.4,2,1,1,5,5,36.8,0
31-01-2024,Bendigo,Summer,Bushfire,High,34.3,3.2,23.9,11,6,8,7,7,100,0
01-02-2024,Geelong,Summer,None,Low,27.3,1.4,14.8,2,5,1,0,1,26.7,0
02-02-2024,Bendigo,Summer,None,Medium,23.6,5.4,28.7,6,6,4,6,4,60.2,0
03-02-2024,Gippsland,Summer,None,Low,29.2,1.1,34.8,4,6,6,1,1,31.1,0
04-02-2024,Ballarat,Summer,None,Medium,32.5,6.2,26.2,18,15,6,1,7,77.5,1
05-02-2024,Melbourne Metro,Summer,None,Low,31.7,2.4,23.8,8,1,0,2,2,18.3,0
06-02-2024,Geelong,Summer,None,Low,29.3,4.7,34.9,8,5,1,3,1,30.9,0
07-02-2024,Shepparton,Summer,None,Low,31.9,4.7,37.6,6,3,3,1,0,19.7,0
08-02-2024,Bendigo,Summer,None,Low,33.2,5.2,30.4,4,4,2,1,0,31.3,0
09-02-2024,Ballarat,Summer,Bushfire,High,32.7,1.6,31.6,13,9,8,3,8,88.7,0
10-02-2024,Ballarat,Summer,Bushfire,High,32.4,1.7,28.7,15,10,10,5,7,93.6,0
11-02-2024,Geelong,Summer,Bushfire,Medium,34.9,1.8,29.8,7,3,8,1,3,60.4,0
12-02-2024,Geelong,Summer,None,Low,21.6,5.7,29.8,3,5,3,5,2,32,0
13-02-2024,Ballarat,Summer,Bushfire,High,32.8,0.9,40,15,13,7,1,8,98.3,0
14-02-2024,Melbourne Metro,Summer,None,High,22.3,13.4,32.8,17,4,4,3,5,71,0
15-02-2024,Melbourne Metro,Summer,None,Low,25.9,3.1,16.3,17,11,7,2,5,58.1,1
16-02-2024,Bendigo,Summer,Flood,Medium,28.5,14.5,11.9,6,5,9,3,4,67.1,0
17-02-2024,Melbourne Metro,Summer,None,Low,23.5,0.6,33.9,7,4,1,3,0,20.1,0
18-02-2024,Ballarat,Summer,None,Low,31.3,6.1,24.7,8,5,4,1,2,30.2,0
19-02-2024,Ballarat,Summer,None,Low,30.4,4.4,21.2,8,3,2,4,0,37.2,0
20-02-2024,Gippsland,Summer,None,High,34.8,0.2,26.4,8,4,5,6,3,66.9,0
21-02-2024,Ballarat,Summer,None,Low,27.6,1.9,30.1,6,1,2,1,0,26.2,0
22-02-2024,Melbourne Metro,Summer,None,Medium,34.6,4.3,24.5,6,7,5,0,0,51,0
23-02-2024,Shepparton,Summer,None,Low,29.5,3,7.5,9,4,2,1,0,25.7,0
24-02-2024,Bendigo,Summer,None,Low,28.7,4.9,18.9,4,2,2,1,3,26.3,0
25-02-2024,Gippsland,Summer,Bushfire,High,33.1,2,44,14,7,6,4,4,86,0
26-02-2024,Melbourne Metro,Summer,Bushfire,Medium,32.3,3.7,29,12,9,2,1,2,56.9,0
27-02-2024,Bendigo,Summer,Bushfire,High,37.5,3,32.9,11,6,7,3,5,80.2,0
28-02-2024,Melbourne Metro,Summer,None,Medium,33.6,5.6,29.4,9,7,3,1,1,42.5,0
29-02-2024,Gippsland,Summer,None,Low,26,1,26.5,4,5,3,5,1,35.4,0
01-03-2024,Ballarat,Autumn,None,Low,16.7,1.4,15.4,8,4,1,2,1,25.7,0
02-03-2024,Shepparton,Autumn,Storm,High,21.9,13,23,13,9,4,2,1,76.2,0
03-03-2024,Gippsland,Autumn,None,Low,26.4,0.9,22.4,6,1,3,3,1,30.2,0
04-03-2024,Ballarat,Autumn,None,Low,23.5,2.4,15.1,2,4,2,4,3,34.4,0
05-03-2024,Gippsland,Autumn,Storm,Medium,19.5,14.5,15.7,8,2,3,3,0,48.9,0
06-03-2024,Geelong,Autumn,None,Medium,23.4,5.4,24.3,0,4,3,0,1,44.9,0
